Game,As of,Genre(s),Developer(s),Publisher(s),Copies_sold,Release_date,Metacritic_url,Critic_score,User_score,Number_of_critic_reviews,Number_of_user_reviews,Description,Price,Image
New Pokémon Snap,"May 15, 2022",Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,2.74 million,04/30/2021,https://www.metacritic.com/game/new-pokemon-snap,79.0,6.9,122.0,672.0,"Photograph Pokémon in their natural habitats as you adventure through unknown islands. Seek out and take in-game pictures of Pokémon in their native environments in the New Pokémon Snap game, only for the Nintendo Switch system! You'll even discover behaviors and expressions you've never seen before when you encounter and research lively... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Newpokemonsnap.png/220px-Newpokemonsnap.png
Arms,"December 31, 2022",Fighting,Nintendo EPD,Nintendo,2.72 million,06/16/2017,https://www.metacritic.com/game/arms,77.0,7.1,104.0,854.0,"The first fighting game of its kind. Choose a fighting champion from around the world, equip your own combination of extendable arms, and then use a mix of button presses and quick hand motions to really take the fight to your opponent. Throw punches and guide them midflight to hit agile fighters, avoid incoming attacks with dashes, or t... ",N/A,
Xenoblade Chronicles 2,"December 31, 2022",Action role-playing,Monolith Soft,Nintendo,2.7 million,12/01/2017,https://www.metacritic.com/game/xenoblade-chronicles-2,83.0,8.5,97.0,2555.0,"Search for the ultimate paradise, Elysium, with your companion, Pyra.

Explore an endless ocean of clouds, where the last remnants of civilization live on the backs of colossal beasts called Titans. Experience the story of Rex and his new friend, Pyra, a mysterious being known as a Blade who grants him tremendous power. Together, searc... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Xenoblade_Chronicles_2.jpg/220px-Xenoblade_Chronicles_2.jpg
Pikmin 4,"September 30, 2023",Real-time strategy,Nintendo EPD,Nintendo,2.61 million,07/21/2023,https://www.metacritic.com/game/pikmin-4,87.0,9.0,122.0,732.0,"Chart a mysterious planet with curious plantlike Pikmin that come in different types in Pikmin 4 - like the brand-new Ice Pikmin! The capable canine, Oatchi, will also help to overcome big challenges.",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Pikmin_icon_4.jpg/220px-Pikmin_icon_4.jpg
Mario Strikers: Battle League,"March 31, 2023",Sports,Next Level Games,Nintendo,2.54 million,06/10/2022,https://www.metacritic.com/game/mario-strikers-battle-league,73.0,4.4,117.0,439.0,"[Also known as ""Mario Strikers: Battle League Football""] Tackle, pass, and score in battle soccer with the Mushroom Kingdom gang. Introducing Strike, a 5-on-5, soccer-like sport with no rules—do whatever it takes to win! Get gritty and try to score the most goals by tackling enemies, using items, and pulling off score-boosting special sh... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Mario_strikers_battle_league.jpeg/220px-Mario_strikers_battle_league.jpeg
Mario Golf: Super Rush,"December 31, 2022",Sports,Camelot Software Planning,Nintendo,2.48 million,06/25/2021,https://www.metacritic.com/game/mario-golf-super-rush,70.0,5.6,115.0,265.0,"Tee off with family and friends in the biggest Mario Golf game yet. Hit the green with up to four players locally* or online** and golf with familiar Mushroom Kingdom characters. Modes range from Standard Golf to the energetic Speed Golf and an RPG-like golf adventure in story mode. Intuitive motion or button controls, a shot gauge that ... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Mario_Golf_Super_Rush_Pre-Release_Logo.jpeg/220px-Mario_Golf_Super_Rush_Pre-Release_Logo.jpeg
Dragon Ball FighterZ,"December 31, 2022",Fighting,Arc System Works,Bandai Namco Entertainment,2.43 million,09/27/2018,https://www.metacritic.com/game/dragon-ball-fighterz,87.0,8.0,78.0,723.0,"After the success of the Xenoverse series, its time to introduce a new classic 2D DRAGON BALL fighting game for this generations consoles. DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its allpowerful fighters. Partnering with Arc System Works, DRAGON BALL Fighter... ",20.8955,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/DBFZ_cover_art.jpg/220px-DBFZ_cover_art.jpg
Pikmin 3 Deluxe,"December 31, 2022",Real-time strategy,Eighting,Nintendo,2.4 million,10/30/2020,https://www.metacritic.com/game/pikmin-3-deluxe,85.0,8.6,95.0,259.0,No mission is too big for the tiny Pikmin. Touch down on a world of rich adventure with Pikmin 3 Deluxe for Nintendo Switch. Command a capable crop of tiny creatures and explore a hostile planet in this exciting blend of action and strategy. Use each Pikmin type's unique skills to overcome obstacles and open up a diverse world around you... ,46.9971,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Pikmin_3_box_artwork.png/220px-Pikmin_3_box_artwork.png
Captain Toad: Treasure Tracker,"December 31, 2022",Action puzzle,Nintendo EPD,Nintendo,2.35 million,07/13/2018,https://www.metacritic.com/game/captain-toad-treasure-tracker,81.0,8.6,78.0,488.0,"The intrepid Captain Toad sets off on his own adventure for the very first time through a wide variety of tricky, enemy-infested, maze-like stages to find hidden gems and nab elusive gold stars.",29.222100000000005,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/CaptainToadtreasuretracker.png/220px-CaptainToadtreasuretracker.png
Taiko no Tatsujin: Drum 'n' Fun!,"December 31, 2022",Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,2.27 million,07/19/2018,https://www.metacritic.com/game/taiko-no-tatsujin-drum-n-fun,78.0,8.1,22.0,53.0,Enjoy the cult classic arcade rhythm game from Japan in the comfort of your own home! Play to the beat using your own drum with wide variety of new songs and challenge your friends to prove who has the best taiko skills. Use motion controls to enjoy Taiko like never before! Unlock beloved characters to help you on your journey to become ... ,N/A,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Taiko_no_Tatsujin_Switch.jpg/220px-Taiko_no_Tatsujin_Switch.jpg
Octopath Traveler,"January 2, 2022",Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo,2.16 million,07/13/2018,https://www.metacritic.com/game/octopath-traveler,83.0,8.4,87.0,1439.0,"Embark on a vast new role-playing adventure as one of eight travelers, all with their own origins, paths, and goals. The producers of the Bravely series at Square Enix have brought a new world to life through a mix of CG, pixel art, and ""HD-2D"" visuals. Embark on a vast new role-playing adventure as one of eight travelers, all with their... ",43.410500000000006,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Octopath_Traveler.jpg/220px-Octopath_Traveler.jpg
Mario + Rabbids Kingdom Battle,"September 2, 2018",Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[26],2.0 million,08/29/2017,https://www.metacritic.com/game/mario-+-rabbids-kingdom-battle,85.0,8.3,111.0,1378.0,"Welcome to the story of an unexpected encounter between Mario and the irreverent Rabbids. To bring order back to a splintered Mushroom Kingdom, Mario, Luigi, Princess Peach, and Yoshi team up with Rabbids heroes in a journey through four different worlds. Outwit unpredictable enemies in dynamic turn-based combat and co-op challenges, and... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Mario_%2B_Rabbids_Kingdom_Battle.jpg/220px-Mario_%2B_Rabbids_Kingdom_Battle.jpg
Pokémon Mystery Dungeon: Rescue Team DX,"December 31, 2022",Roguelike,Spike Chunsoft,Nintendo,1.99 million,03/06/2020,https://www.metacritic.com/game/pokemon-mystery-dungeon-rescue-team-dx,69.0,8.0,78.0,336.0,"You can meet and recruit Pokémon in a dungeon-crawling adventure within their world! Build a rescue team to take on mysterious, changing dungeons and strategically plan your moves as you venture forth to make the Pokémon world a safer place…and uncover your true purpose along the way.

As you recruit Pokémon, these trusty teammates wil... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Pok%C3%A9mon_Mystery_Dungeon_Rescue_Team_DX.jpg/220px-Pok%C3%A9mon_Mystery_Dungeon_Rescue_Team_DX.jpg
Big Brain Academy: Brain vs. Brain,"December 31, 2022",Puzzle,"Nintendo EPD, indieszero",Nintendo,1.94 million,12/03/2021,https://www.metacritic.com/game/big-brain-academy-brain-vs-brain,73.0,8.0,70.0,30.0,"Battle to see who has the brawniest brain. Take on a series of brain-bending activities that test your mental mettle in Big Brain Academy™: Brain vs. Brain for the Nintendo Switch™ system! Play a wide variety of activities, like memorizing a series of numbers, identifying an animal as it slowly comes into focus, or helping guide a train ... ",N/A,
Xenoblade Chronicles: Definitive Edition,"December 31, 2022",Action role-playing,Monolith Soft,Nintendo,1.88 million,05/29/2020,https://www.metacritic.com/game/xenoblade-chronicles-definitive-edition,89.0,8.8,94.0,1399.0,"Join the fight between man and machine in the definitive edition of this critically-acclaimed RPG. Discover the origins of Shulk as he and his companions clash against a seemingly-unstoppable mechanical menace. Wield a future-seeing blade, chain together attacks, and carefully position your party members in strategic, real-time combat as... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Xenoblade_box_artwork.png/220px-Xenoblade_box_artwork.png
Xenoblade Chronicles 3,"March 31, 2023",Action role-playing,Monolith Soft,Nintendo,1.86 million,07/29/2022,https://www.metacritic.com/game/xenoblade-chronicles-3,89.0,8.5,126.0,1450.0,"""Fighting to liveand living to fight"" - A brand new RPG adventure awaits in Xenoblade Chronicles 3. Bringing together the futures of Xenoblade Chronicles and Xenoblade Chronicles 2, this title will take players to the world of Aionios, home to two hostile nations.  Keves: a nation where mechanical technology was developed. Their armies a... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Xenoblade_3.png/220px-Xenoblade_3.png
Dragon Ball Xenoverse 2,"December 31, 2022",Fighting,Dimps,Bandai Namco Entertainment,1.82 million,09/07/2017,https://www.metacritic.com/game/dragon-ball-xenoverse-2,72.0,7.4,58.0,317.0,"DRAGON BALL XENOVERSE 2 builds upon the DRAGON BALL XENOVERSE with enhanced graphics that will further immerse players into the largest and most detailed Dragon Ball world ever developed.

DRAGON BALL XENOVERSE 2 delivers a new hub city and the most character customization choices to date among a multitude of new features and special u... ",7.8921,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Dragon_Ball_Xenoverse_2_Cover.jpeg/220px-Dragon_Ball_Xenoverse_2_Cover.jpeg
Miitopia,"December 31, 2022",Role-playing,Grezzo,Nintendo,1.79 million,05/21/2021,https://www.metacritic.com/game/miitopia,71.0,8.2,61.0,109.0,"Since the dawn of ever, warriors have banded together to fight evil. Now… Mii characters based on your favorite people must unite to do turn-based battle and save Miitopia. Cast them in roles across the kingdom, manage friendships, and give them jobs with distinct stats, abilities, gear, and a custom look. Then behold as awesomeness unfo... ",31.797500000000003,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Miitopia_3DS.jpg/220px-Miitopia_3DS.jpg
Mario Kart Live: Home Circuit,"December 31, 2022",Kart racingaugmented reality,Velan Studios,Nintendo,1.73 million,10/16/2020,https://www.metacritic.com/game/mario-kart-live-home-circuit,75.0,6.9,62.0,85.0,Control a real-life Mario Kart with Nintendo Switch and watch it come to life in the game. Race a real-world Mario Kart™ through your home! Use the Nintendo Switch™ system to control your kart and watch as it reacts to what’s happening in the game as you boost and drift to victory. Your in-home course comes to life on-screen with a view ... ,N/A,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Mario_Kart_Live_Home_Circuit.jpeg/220px-Mario_Kart_Live_Home_Circuit.jpeg
Naruto Shippudden: Ultimate Ninja Storm Trilogy,"December 31, 2022",Fighting,CyberConnect2,Bandai Namco Entertainment,1.73 million,07/27/2017,https://www.metacritic.com/game/naruto-shippudden-ultimate-ninja-storm-trilogy,N/A,N/A,N/A,N/A,N/A,N/A,
Fire Emblem Engage,"March 31, 2023",Tactical role-playing,Intelligent Systems,Nintendo,1.61 million,01/20/2023,https://www.metacritic.com/game/fire-emblem-engage,80.0,6.6,134.0,890.0,"In a war against the Fell Dragon, four kingdoms worked together with heroes from other worlds to seal away this great evil. One-thousand years later, this seal has weakened and the Fell Dragon is about to reawaken. As a Divine Dragon, use rich strategies and robust customization to meet your destiny—to collect Emblem Rings and bring peac... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Fire_Emblem_Engage.jpg/220px-Fire_Emblem_Engage.jpg
Marvel Ultimate Alliance 3: The Black Order,"December 31, 2022",Action role-playing,Team Ninja,Nintendo,1.6 million,07/19/2019,https://www.metacritic.com/game/marvel-ultimate-alliance-3-the-black-order,73.0,7.2,87.0,383.0,"The MARVEL ULTIMATE ALLIANCE series returns for the first time in 10 yearswith a new action RPGexclusively on the Nintendo Switch system!

Assemble your ultimate team of Marvel Super Heroes from a huge cast including the Avengers, the Guardians of the Galaxy, the X-Men, and more! Team up with friends to prevent galactic devastation at th... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Marvelultimate3.jpg/220px-Marvelultimate3.jpg
Pokkén Tournament DX,"January 2, 2022",Fighting,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,1.54 million,09/22/2017,https://www.metacritic.com/game/pokken-tournament-dx,79.0,7.3,63.0,298.0,"The popular Pokemon fighting game comes to Nintendo Switch with added Pokemon fighters and new ways to battle other players. Take direct control of one of over 20 prized Pokemon fighters to defeat other Pokemon in action-packed arena fights. With Nintendo Switch, you can battle at home or on the go to become the Ferrum League champion. M... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/PokkenTournamentBoxart.png/220px-PokkenTournamentBoxart.png
Kirby's Return to Dream Land Deluxe,"March 31, 2023",Platformer,HAL Laboratory,Nintendo,1.46 million,02/24/2023,https://www.metacritic.com/game/kirbys-return-to-dream-land-deluxe,79.0,8.8,112.0,110.0,"The tough puff Kirby is back for a 4-player* platforming adventure. Copy enemies’ abilities and use their power to attack with a sword, wield a whip, and float with a parasol. You can also laser blast with the new Mecha Copy Ability that makes a series debut! The extra muscle will be handy in finding missing pieces for Magolor’s ship, wh... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Kirbys_return_to_dreamland_boxart.jpg/220px-Kirbys_return_to_dreamland_boxart.jpg
Nintendo Labo Toy-Con 01: Variety Kit,"December 31, 2020",Construction kit,Nintendo EPD,Nintendo,1.42 million,04/20/2018,https://www.metacritic.com/game/nintendo-labo-toy-con-01-variety-kit,N/A,N/A,N/A,N/A,N/A,N/A,
Resident Evil: Revelations Collection,"June 30, 2023",Survival horror,Capcom,Capcom,1.4 million,11/27/2017,https://www.metacritic.com/game/resident-evil-revelations-collection,78.0,8.4,20.0,72.0,"Resident Evil Revelations features Jill Valentine and Claire Redfield as they investigate an abandoned cruise ship where terror lurks around every corner. Resident Evil Revelations 2 features 2 separate, but intertwined storylines featuring Claire Redfield and Barry Burton as they find themselves on an abandoned prison island.",N/A,
WarioWare: Get It Together!,"December 31, 2022",Party,Intelligent Systems,Nintendo,1.34 million,09/10/2021,https://www.metacritic.com/game/warioware-get-it-together,76.0,7.7,95.0,144.0,"Microgame mayhem comes to the Nintendo Switch™ system. Take on over 200 quick and quirky microgames—lightning-fast minigames filled with frantic fun—solo or with a friend! When his latest harebrained business scheme goes awry, Wario must use his signature style (and smell) to fix it. How? By playing a twisted collection microgames of cou... ",27.642100000000003,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Get_It_Together_cover_art.jpg/220px-Get_It_Together_cover_art.jpg
Astral Chain,"December 31, 2022",Action-adventure/Hack and slash,PlatinumGames,Nintendo,1.33 million,08/30/2019,https://www.metacritic.com/game/astral-chain,87.0,8.9,98.0,3491.0,"As part of a police special task force, it’s up to you to fight against mysterious, alien-like creatures who have invaded the world.  In the Ark, a multi-cultural city in the near future, disaster strikes when gates to another dimension suddenly appear! Dangerous creatures begin to emerge, attacking the people and polluting the land, and... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Astral_Chain.jpg/220px-Astral_Chain.jpg
Dr Kawashima's Brain Training for Nintendo Switch,"December 31, 2022",Puzzle,"Nintendo EPD, indieszero",Nintendo,1.27 million,12/27/2019,https://www.metacritic.com/game/dr-kawashimas-brain-training-for-nintendo-switch,64.0,6.4,21.0,40.0,"Get ready to challenge your brain in a variety of ways in Dr Kawashima’s Brain Training for Nintendo Switch. Enjoy new exercises, some of them making use of the right Joy-Con’s IR Motion Camera*, or tap and train with classic exercises from past Brain Training games that you can play using a stylus (included with the packaged version fro... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Dr_Kawashima%27s_Brain_Training_for_Nintendo_Switch_Cover_Art.jpg/220px-Dr_Kawashima%27s_Brain_Training_for_Nintendo_Switch_Cover_Art.jpg
Bayonetta,"December 31, 2022",Action-adventure/Hack and slash,PlatinumGames,Nintendo,1.24 million,02/16/2018,https://www.metacritic.com/game/bayonetta,90.0,8.3,86.0,629.0,"Bayonetta is a stylish and cinematic action game directed by creator Hideki Kamiya. A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless ethereal enemies, many reaching epic proportions, in a game of 100% pure, unadulterated all-out action. Outlandish fini... ",31.560500000000005,
Bayonetta 2,"December 31, 2022",Action-adventure/Hack and slash,PlatinumGames,Nintendo,1.23 million,02/16/2018,https://www.metacritic.com/game/bayonetta-2,91.0,8.9,80.0,1405.0,"In this climatic sequel to the critically acclaimed Bayonetta action game, players will be on the edge of their seats from start to finish. Brimming with epic, gorgeous cut scenes and battles that are more exhilarating than ever, this game never lets up on the action. Fight on top of a jet as it soars through a downtown city. Duke it out... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Bayonetta_2_box_artwork.png/220px-Bayonetta_2_box_artwork.png
Dark Souls Remastered,"December 31, 2022",Action role-playing game,FromSoftware,Bandai Namco Entertainment,1.15 million,10/19/2018,https://www.metacritic.com/game/dark-souls-remastered,84.0,8.3,56.0,1834.0,"Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning detail. DARK SOULS: REMASTERED includes the main game plus the Artorias of the Abyss DLC. ",23.613100000000003,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Dark_Souls_Cover_Art.jpg/220px-Dark_Souls_Cover_Art.jpg
Game Builder Garage,"December 31, 2022",Programming,Nintendo EPD,Nintendo,1.15 million,06/11/2021,https://www.metacritic.com/game/game-builder-garage,77.0,7.8,58.0,50.0,Have you ever dreamed of building your own video games? The Game Builder Garage™ software is a great place to start! Anyone can learn the basics of game design and visual programming with step-by-step lessons created by the minds at Nintendo.,23.6921,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Game_Builder_Garage_Icon.png/220px-Game_Builder_Garage_Icon.png
Shin Megami Tensei V,"December 31, 2022",Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo,1.1 million,11/11/2021,https://www.metacritic.com/game/shin-megami-tensei-v,84.0,7.5,103.0,772.0,"The ambitions of god and human clash amidst the horror of a dying world. Neither human nor demon, the newly-forged Nahobino and his friends must decide what is worth saving... and prepare to sacrifice everything in its name. In a world without its Creator, which path will you choose? ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Shin_Megami_Tensei_V.png/220px-Shin_Megami_Tensei_V.png
Metroid Prime Remastered,"March 31, 2023",Action-adventure,Retro Studios,Nintendo,1.09 million,02/08/2023,https://www.metacritic.com/game/metroid-prime-remastered,94.0,8.7,100.0,1215.0,"Intergalactic bounty hunter Samus Aran receives a distress signal from a wrecked frigate in orbit around planet Tallon IV. Upon investigation, the frigate reveals itself to be a Space Pirate research vessel home to terrifying genetic experiments using the mysterious Phazon substance. There, Samus encounters her nemesis, Meta Ridley, whom... ",31.5921,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/MetroidPrimebox.jpg/220px-MetroidPrimebox.jpg
Bayonetta 3,"March 31, 2023",Action-adventure/Hack and slash,PlatinumGames,Nintendo,1.07 million,10/28/2022,https://www.metacritic.com/game/bayonetta-3,86.0,7.2,130.0,698.0,"Bayonetta returns in an all-new, over-the-top climax action game. Sporting a wicked new ensemble and somehow familiar pigtails, the titular Umbra Witch must face a mysterious evil using her signature guns and time-slowing Witch Time ability. Is her foe angel, demon, or something else entirely?

Tap into Bayonetta's naughtier side with De... ",33.1721,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Bayonetta_3_cover.webp/220px-Bayonetta_3_cover.webp.png
Enter the Gungeon,"March 3, 2019",Bullet hell,Dodge Roll,Devolver Digital,1.0 million,12/14/2017,https://www.metacritic.com/game/enter-the-gungeon,82.0,8.0,33.0,228.0,"Enter the Gungeon is a bullet hell dungeon crawler following a band of misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendary Gungeon’s ultimate treasure: the gun that can kill the past.",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Enter_the_Gungeon_logo.png/220px-Enter_the_Gungeon_logo.png
Fire Emblem Warriors: Three Hopes,"August 17, 2022",Hack and slashRole-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo,1.0 million,06/24/2022,https://www.metacritic.com/game/fire-emblem-warriors-three-hopes,80.0,8.9,112.0,750.0,"Join Fire Emblem: Three Houses characters as you engage in massive battles across Fódlan Edelgard, Dimitri, Claude, and other Fire Emblem: Three Houses characters return to put their combat expertise on display as you revisit a war-torn Fódlan. Unleash devastating combos and striking special moves in action-packed, real-time combat. Cut ... ",33.1721,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Fire_Emblem_Warriors_Three_Hopes.jpg/220px-Fire_Emblem_Warriors_Three_Hopes.jpg
Fitness Boxing,"September 8, 2020",Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,1.0 million,12/20/2018,https://www.metacritic.com/game/fitness-boxing,66.0,6.7,14.0,48.0,"Get off the couch and get moving with fun, boxing-based rhythmic exercises set to the instrumental beats of songs by popular artists, including Lady Gaga, Pitbull and Kesha. You can personalize your workouts by selecting from different fitness goals. Train your way, whether you're on your own, with a friend, at home, or on the go! Now yo... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Fitness_Boxing.jpg/220px-Fitness_Boxing.jpg
Fitness Boxing 2: Rhythm and Exercise,"December 9, 2021",Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo,1.0 million,12/04/2020,https://www.metacritic.com/game/fitness-boxing-2-rhythm-and-exercise,66.0,6.2,29.0,19.0,"Work out at home and punch to the beat. Jab, uppercut, dodge, and more to catchy pop tunes in this rhythmic boxing game. Pass a Joy-Con™ controller to an exercise buddy and box to the beat together. Customize your workout with the help of a virtual instructor. Choose from nine virtual instructors, select a challenge level from light to h... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Fitness_Boxing.jpg/220px-Fitness_Boxing.jpg
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,"December 21, 2023",Board game,Konami,JP: Konami,1.0 million,11/16/2023,https://www.metacritic.com/game/momotaro-dentetsu-world-chikyuu-wa-kibou-de-mawatteru,N/A,N/A,N/A,N/A,N/A,N/A,
Story of Seasons: Pioneers of Olive Town,"November 18, 2021",Simulationrole-playing,Marvelous,Xseed Games,1.0 million,02/25/2021,https://www.metacritic.com/game/story-of-seasons-pioneers-of-olive-town,71.0,7.1,61.0,96.0,"Inspired by tales of their grandfather's pioneering days, the protagonist decides to pack their bags and leave the hustle and bustle of big city life for the frontier in Olive Town. 

When they arrive, they run into Victor, the town's mayor and their grandfather's old friend. He brings them to the old farm, which has been reclaimed by ... ",23.6921,
Thief Simulator,"July 16, 2021",Stealth,Noble Muffins,Forever Entertainment,1.0 million,05/19/2019,https://www.metacritic.com/game/thief-simulator,N/A,6.9,N/A,62.0,"Become the best thief. Gather intel, steal things and sell them to buy hi-tech equipment. Do everything that a real thief does.
",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/Thief_Simulator_cover.jpg/220px-Thief_Simulator_cover.jpg
